_id,Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
239,Economic Opportunity & Inclusion Cabinet,Office of Tourism,Tourism,Other Expenses,26721.34,17576.67,38750,50000
240,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Personnel Services,#Missing,1746654.21,918631.58,1006929.36
241,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Contractual Services,#Missing,167227.34,253740,133740
242,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Supplies & Materials,#Missing,6563.38,5820,5820
243,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Current Charges & Obligations,#Missing,8250.92,0,0
244,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Boston Residents Job Policy,Equipment,#Missing,13127.17,3200,3200
245,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Personnel Services,#Missing,#Missing,367180.31,397967.77
246,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Contractual Services,#Missing,#Missing,290000,410000
247,Worker Empowerment Cabinet,Labor Compliance and Worker Protections,Worker Empowerment Administration,Other Expenses,#Missing,#Missing,1151660,#Missing
248,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Personnel Services,7988496.84,10246877.7,7827291.48,8077735.31
249,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Contractual Services,2557953.23,6240271.46,9837758,14413079
250,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Supplies & Materials,58996.77,62541.72,68500,95000
251,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Current Charges & Obligations,44735.04,49221.16,56496,44496
252,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Equipment,#Missing,4206.49,4500,0
253,Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Other Expenses,562500,562250,562500,0
254,Worker Empowerment Cabinet,Office of Workforce Development,OWD Admin,Contractual Services,#Missing,#Missing,#Missing,366174
255,Worker Empowerment Cabinet,Office of Workforce Development,OWD,Personnel Services,#Missing,#Missing,#Missing,3602535
256,Worker Empowerment Cabinet,Office of Workforce Development,OWD,Contractual Services,#Missing,#Missing,#Missing,3556834
257,Education Cabinet,Boston Public Schools,Alternative,Personnel Services,1719010.49,1968080.78,2583371,2632970
258,Education Cabinet,Boston Public Schools,Alternative,Contractual Services,8948.33,20988.99,26278,26278
259,Education Cabinet,Boston Public Schools,Alternative,Supplies & Materials,8157.96,20369.75,#Missing,14787
260,Education Cabinet,Boston Public Schools,Alternative,Equipment,2096,#Missing,#Missing,#Missing
261,Education Cabinet,Boston Public Schools,Early Learning Center,Personnel Services,14189560.54,15016634.39,18019808,19308466
262,Education Cabinet,Boston Public Schools,Early Learning Center,Contractual Services,224894.72,211074,387574,287833
263,Education Cabinet,Boston Public Schools,Early Learning Center,Supplies & Materials,169759.78,92289.42,147541,160499
264,Education Cabinet,Boston Public Schools,Early Learning Center,Equipment,4547,#Missing,31993,2900
265,Education Cabinet,Boston Public Schools,Elementary,Personnel Services,146358168.9,162017832.6,193547579,205423049
266,Education Cabinet,Boston Public Schools,Elementary,Contractual Services,1700743.79,1169445.29,806682,760099
267,Education Cabinet,Boston Public Schools,Elementary,Supplies & Materials,1274705.51,945678.18,858308,1067547
268,Education Cabinet,Boston Public Schools,Elementary,Current Charges & Obligations,#Missing,1940.84,11241,6500
269,Education Cabinet,Boston Public Schools,Elementary,Equipment,279671.9,225803.77,6000,7000
270,Education Cabinet,Boston Public Schools,Exam,Personnel Services,37892696.11,41069275.12,50150040,50593522
271,Education Cabinet,Boston Public Schools,Exam,Contractual Services,16988.57,39791.07,300,21200
272,Education Cabinet,Boston Public Schools,Exam,Supplies & Materials,235414.23,263397.98,188443,272737
273,Education Cabinet,Boston Public Schools,Exam,Current Charges & Obligations,12450,17450,#Missing,#Missing
274,Education Cabinet,Boston Public Schools,Exam,Equipment,7997.95,12841.14,#Missing,#Missing
275,Education Cabinet,Boston Public Schools,High,Personnel Services,111918421.7,129243275.9,167412954,174455717
276,Education Cabinet,Boston Public Schools,High,Contractual Services,1242003.32,1543782.95,1389537,1291323
277,Education Cabinet,Boston Public Schools,High,Supplies & Materials,808055.49,1206329.52,1602591,1073660
278,Education Cabinet,Boston Public Schools,High,Current Charges & Obligations,4999.55,11473.75,#Missing,#Missing
279,Education Cabinet,Boston Public Schools,High,Equipment,317313.67,146844.28,172904,10655
280,Education Cabinet,Boston Public Schools,K-12,Personnel Services,10698065.57,11888412.59,14788294,14918820
281,Education Cabinet,Boston Public Schools,K-12,Contractual Services,249138.73,#Missing,2700,22201
282,Education Cabinet,Boston Public Schools,K-12,Supplies & Materials,39335.84,33745.51,1611,1001
283,Education Cabinet,Boston Public Schools,K-12,Current Charges & Obligations,#Missing,133032,#Missing,#Missing
284,Education Cabinet,Boston Public Schools,K-12,Equipment,1048,#Missing,#Missing,#Missing
285,Education Cabinet,Boston Public Schools,K-8,Personnel Services,184376796.8,190063856.4,229918721,241374870
286,Education Cabinet,Boston Public Schools,K-8,Contractual Services,1162542.94,386979.82,1027554,1231812
287,Education Cabinet,Boston Public Schools,K-8,Supplies & Materials,1504622.48,1415155.48,789608,858014
288,Education Cabinet,Boston Public Schools,K-8,Equipment,260610.09,262997.02,6200,50000
289,Education Cabinet,Boston Public Schools,Middle,Personnel Services,16534744.54,10210003.15,11231381,6513995
290,Education Cabinet,Boston Public Schools,Middle,Contractual Services,79314,35680,49129,50000
291,Education Cabinet,Boston Public Schools,Middle,Supplies & Materials,65010.87,30935.48,21645,26511
292,Education Cabinet,Boston Public Schools,Middle,Equipment,2971.8,5600,5600,#Missing
293,Education Cabinet,Boston Public Schools,Middle/High,Personnel Services,30143915.17,34649658.99,43516760,45919539
294,Education Cabinet,Boston Public Schools,Middle/High,Contractual Services,1611360.68,1727000.59,210473,391358
295,Education Cabinet,Boston Public Schools,Middle/High,Supplies & Materials,117718.54,77542.91,74604,204749
296,Education Cabinet,Boston Public Schools,Middle/High,Equipment,335163.89,120122.33,58462,50000
297,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Personnel Services,18188364.97,18464005.15,23024559,21654505
298,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Contractual Services,557336.26,505321.37,788178,2181685
299,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Supplies & Materials,189521.81,174675.19,330481,238344
300,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Current Charges & Obligations,#Missing,10556,#Missing,13000
301,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Equipment,65397.65,67282.69,125062,57488
302,Education Cabinet,Boston Public Schools,Superintendent,Personnel Services,2270394.73,2802961.13,2772039,3338259
303,Education Cabinet,Boston Public Schools,Superintendent,Contractual Services,1138326.31,970488.27,372051,371400
304,Education Cabinet,Boston Public Schools,Superintendent,Supplies & Materials,17868.33,24526.3,24599,24499
305,Education Cabinet,Boston Public Schools,Superintendent,Current Charges & Obligations,#Missing,66.12,#Missing,#Missing
306,Education Cabinet,Boston Public Schools,Superintendent,Equipment,6771.3,4753.64,6561,21161
307,Education Cabinet,Boston Public Schools,Superintendent,Other Expenses,#Missing,#Missing,468079,468079
308,Education Cabinet,Boston Public Schools,Student Support Services (C),Personnel Services,51067334.63,52136594.87,68902923,72924591
309,Education Cabinet,Boston Public Schools,Student Support Services (C),Contractual Services,6968913.29,5877313.46,8398047,10491372
310,Education Cabinet,Boston Public Schools,Student Support Services (C),Supplies & Materials,334636.41,480844.04,561173,848089
311,Education Cabinet,Boston Public Schools,Student Support Services (C),Current Charges & Obligations,4800,7200,11566,22385
312,Education Cabinet,Boston Public Schools,Student Support Services (C),Equipment,119278.24,148187.48,361773,249935
313,Education Cabinet,Boston Public Schools,Strategy,Personnel Services,36475854.31,42694804.2,32339450,31145821
314,Education Cabinet,Boston Public Schools,Strategy,Contractual Services,9183476.52,7827628.26,11125901,10419223
315,Education Cabinet,Boston Public Schools,Strategy,Supplies & Materials,131410.07,391119.56,272693,387938
316,Education Cabinet,Boston Public Schools,Strategy,Current Charges & Obligations,42361.32,24357.1,21229,49892
317,Education Cabinet,Boston Public Schools,Strategy,Equipment,100318.47,107656.13,81450,79356
318,Education Cabinet,Boston Public Schools,Strategy,Other Expenses,646711.9,1745973.38,173663,173663
319,Education Cabinet,Boston Public Schools,School Committee,Personnel Services,204516.58,225079.01,271445,299285
320,Education Cabinet,Boston Public Schools,School Committee,Contractual Services,208591.35,130099.35,137152,136152
321,Education Cabinet,Boston Public Schools,School Committee,Supplies & Materials,3912.71,936.51,4179,1416
322,Education Cabinet,Boston Public Schools,School Committee,Equipment,1048,#Missing,1151,2000
323,Education Cabinet,Boston Public Schools,BPS Finance,Personnel Services,271720945.8,282841332.9,168901505,183971623
324,Education Cabinet,Boston Public Schools,BPS Finance,Contractual Services,47060954.79,19948020.08,24953142,24900836
325,Education Cabinet,Boston Public Schools,BPS Finance,Supplies & Materials,1892864.23,3003379.05,1946080,1455600
326,Education Cabinet,Boston Public Schools,BPS Finance,Current Charges & Obligations,1655603.91,1841045.87,19445954,5226738
327,Education Cabinet,Boston Public Schools,BPS Finance,Equipment,145651.91,383252.62,517512,727959
328,Education Cabinet,Boston Public Schools,Chief of Schools,Personnel Services,2683542.24,3112945.47,3381115,6166909
329,Education Cabinet,Boston Public Schools,Chief of Schools,Contractual Services,21974,488942.84,26657,139900
330,Education Cabinet,Boston Public Schools,Chief of Schools,Supplies & Materials,7681.3,47493.63,8167,15275
331,Education Cabinet,Boston Public Schools,Chief of Schools,Equipment,2233,1708783.7,3710,4916
332,Education Cabinet,Boston Public Schools,ASSET,Personnel Services,11227025.01,15161040.09,18304310,27638698
333,Education Cabinet,Boston Public Schools,ASSET,Contractual Services,9718732.33,11674138.68,14891372,25213259
334,Education Cabinet,Boston Public Schools,ASSET,Supplies & Materials,1896358.23,1417478.77,2452650,1583634
335,Education Cabinet,Boston Public Schools,ASSET,Current Charges & Obligations,1240,5302.85,35230,67520
336,Education Cabinet,Boston Public Schools,ASSET,Equipment,80646,1189901.74,143733,118456
337,Education Cabinet,Boston Public Schools,BPS Operations,Personnel Services,58844436.9,70118360.05,74341874,80214192
338,Education Cabinet,Boston Public Schools,BPS Operations,Contractual Services,174443907.6,193130380.3,201435911,208621408
339,Education Cabinet,Boston Public Schools,BPS Operations,Supplies & Materials,1655376.66,8031304.83,3874035,7242674
340,Education Cabinet,Boston Public Schools,BPS Operations,Current Charges & Obligations,4480086.52,6271647.24,6962740,13122115
341,Education Cabinet,Boston Public Schools,BPS Operations,Equipment,9866379.78,13986026.7,12678814,13376216
342,Education Cabinet,Boston Public Schools,Turnaround and Transformation,Personnel Services,225279.07,203970.38,420170,383266
343,Education Cabinet,Boston Public Schools,Turnaround and Transformation,Contractual Services,17702.31,#Missing,458226,143798
344,Education Cabinet,Boston Public Schools,Turnaround and Transformation,Equipment,#Missing,58,#Missing,#Missing
345,Education Cabinet,Boston Public Schools,Capital Planning Unit,Personnel Services,332782.33,714413.17,815145,1609804
346,Education Cabinet,Boston Public Schools,Capital Planning Unit,Contractual Services,3036535.57,377874.16,51000,32000
347,Education Cabinet,Boston Public Schools,Capital Planning Unit,Supplies & Materials,72.55,5713.54,#Missing,15000
348,Education Cabinet,Boston Public Schools,Capital Planning Unit,Current Charges & Obligations,182058.72,1978799.72,204649,#Missing
349,Education Cabinet,Boston Public Schools,Capital Planning Unit,Equipment,#Missing,707064.7,#Missing,8500
350,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Personnel Services,2784883.32,2065557.97,2405681.75,3100025.53
351,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Contractual Services,1945504.64,1053449.18,1135687.2,1338317
352,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Supplies & Materials,34094.81,14571.06,16300,16300
353,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Current Charges & Obligations,4668.15,4311.88,30621,10500
354,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Equipment,#Missing,3568.86,0,#Missing
355,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Other Expenses,#Missing,3500000,#Missing,#Missing
356,"Environment, Energy & Open Space Cabinet",Environment Department,"Office of Environment, Energy & Open Space",Personnel Services,#Missing,#Missing,645566.89,685341.29
357,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Personnel Services,2675185.25,2706862.55,2725208.95,2756980.9
358,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Contractual Services,475569.12,548292.37,436130,436130
359,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Supplies & Materials,35696.38,71170.25,29050,29050
360,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Current Charges & Obligations,519428.11,454601.8,435270.93,144365
361,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks & Recreation Administration,Equipment,52477.81,161730.15,81204.41,43227.92
362,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Personnel Services,9524414.58,9469211.62,9124198.5,8918953.95
363,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Contractual Services,4367356.72,5684867.47,5010954.96,5655059.96
364,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Supplies & Materials,943348.17,1138151.9,935633.33,897086.15
365,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Current Charges & Obligations,54695.29,3083.25,57597,63965
366,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Equipment,950423.29,1844283.31,1597982,1861721.02
367,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Operations,Other Expenses,2073559.72,962078.73,1401274,1401274
368,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Personnel Services,881887.16,916538.48,1146933,1015268.89
369,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Contractual Services,124264.98,182788.54,331097.81,153692
370,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Supplies & Materials,209878.86,163151.43,57250,157250
371,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Current Charges & Obligations,130425.08,100806.88,100484,100484
372,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Citywide Recreation,Equipment,3635.94,#Missing,#Missing,#Missing
373,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Personnel Services,1308965.19,1382959.92,1889641.98,1703779.92
374,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Contractual Services,6105419.15,2984279.67,943043.96,1022143.05
375,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Supplies & Materials,750,500,750,750
376,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Parks Design & Construction,Current Charges & Obligations,#Missing,83682,150907,0
377,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Personnel Services,1212413.32,1225726.07,1413252.43,1633103.75
378,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Contractual Services,137763.31,217412.52,180445,180445
379,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Supplies & Materials,91253.93,82974.27,93220,93770.78
380,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Current Charges & Obligations,657.48,9633.9,9306.59,9970
381,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Animal Care & Control,Equipment,10876.66,7194.1,70355.7,150913.11
382,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Personnel Services,#Missing,275564.6,994238.71,1177423.43
383,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Contractual Services,#Missing,418974.23,289449,477022
384,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Equipment,#Missing,#Missing,198551.92,185757.72
385,"Environment, Energy & Open Space Cabinet",Parks and Recreation,Urban Forestry,Other Expenses,#Missing,1423382,1635000,2115000
386,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Personnel Services,1817343.46,1769244.78,1990706.36,1963183.81
387,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Contractual Services,336724.13,453447.29,475139.89,564661.72
388,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Supplies & Materials,72162.09,90804.41,104814.72,105419.83
389,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Current Charges & Obligations,39458.8,47706.29,25071.17,12329
390,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Equipment,128778.74,476266.3,211234.93,256352.74
391,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Other Expenses,81551,33000,142075,142075
392,"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Personnel Services,#Missing,1036515.94,1310426.02,1477383.14
393,"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Contractual Services,#Missing,154103.51,100416,26800
394,"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Supplies & Materials,#Missing,33876.69,28800,28800
395,"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Current Charges & Obligations,#Missing,3540.86,6038,6000
396,"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Equipment,#Missing,24660.98,#Missing,#Missing
397,"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Personnel Services,#Missing,270908.83,518635.99,562387.33
398,"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Contractual Services,#Missing,710437.11,833562.77,818550
399,"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Supplies & Materials,#Missing,17527.76,16500,11500
400,"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Current Charges & Obligations,#Missing,1616.84,2734,3600
401,"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Equipment,#Missing,2715,#Missing,#Missing
402,Finance Cabinet,Office of Finance,A&F,Personnel Services,877574.82,1127838.39,1126811.38,1144929.21
403,Finance Cabinet,Office of Finance,A&F,Contractual Services,1506499.17,444081.13,800410,464965
404,Finance Cabinet,Office of Finance,A&F,Supplies & Materials,508.73,95.77,1250,1250
405,Finance Cabinet,Office of Finance,A&F,Current Charges & Obligations,2939.04,5492.68,2404,2400
406,Finance Cabinet,Office of Finance,A&F,Equipment,2652,10488.31,#Missing,#Missing
407,Finance Cabinet,Assessing Department,Assessing Operations,Personnel Services,2511237.11,2590879.79,2564081.66,2649947.68
408,Finance Cabinet,Assessing Department,Assessing Operations,Contractual Services,74206.45,112388.64,121632.8,214567
409,Finance Cabinet,Assessing Department,Assessing Operations,Supplies & Materials,61212.42,79485.08,66661.28,114200.01
410,Finance Cabinet,Assessing Department,Assessing Operations,Current Charges & Obligations,20292.54,35478.3,3018,5000
411,Finance Cabinet,Assessing Department,Assessing Operations,Equipment,#Missing,103457.5,0,#Missing
412,Finance Cabinet,Assessing Department,Valuation,Personnel Services,3189053.03,3120749.55,3729044.2,3264042.4
413,Finance Cabinet,Assessing Department,Valuation,Contractual Services,164960.47,337406.78,374532,374814
414,Finance Cabinet,Assessing Department,Valuation,Supplies & Materials,6750,7000,0,8500
415,Finance Cabinet,Assessing Department,Valuation,Current Charges & Obligations,156318.33,185816.93,207000,192000
416,Finance Cabinet,Assessing Department,Valuation,Equipment,118995,#Missing,#Missing,#Missing
417,Finance Cabinet,Assessing Department,Executive,Personnel Services,821912.19,791798.71,1225312.04,1252692.13
418,Finance Cabinet,Assessing Department,Executive,Contractual Services,148572.08,92342.91,222297.8,220905
419,Finance Cabinet,Assessing Department,Executive,Supplies & Materials,500,500,0,1000
420,Finance Cabinet,Assessing Department,Executive,Current Charges & Obligations,6551.28,8407.29,10000,10000
421,Finance Cabinet,Auditing Department,Auditing Administration,Personnel Services,556282.95,584700.74,655808.34,732184.59
422,Finance Cabinet,Auditing Department,Auditing Administration,Contractual Services,94599.57,107257.49,76392.2,82905.2
423,Finance Cabinet,Auditing Department,Auditing Administration,Supplies & Materials,6735.64,3715.76,2707,2707
424,Finance Cabinet,Auditing Department,Auditing Administration,Current Charges & Obligations,2720.26,32549.68,961,961
425,Finance Cabinet,Auditing Department,Auditing Administration,Equipment,#Missing,44747,#Missing,#Missing
426,Finance Cabinet,Auditing Department,Accounting,Personnel Services,509180.42,715109.79,842823.39,863078.81
427,Finance Cabinet,Auditing Department,Accounting,Contractual Services,208745.71,141895.38,81769,81824
428,Finance Cabinet,Auditing Department,Accounting,Supplies & Materials,841.14,1623.5,1757,1757
429,Finance Cabinet,Auditing Department,Accounting,Current Charges & Obligations,7205,26831.6,41973,41973
430,Finance Cabinet,Auditing Department,Central Payroll,Personnel Services,613985.53,629174.4,789984.46,654466
431,Finance Cabinet,Auditing Department,Central Payroll,Contractual Services,1291.6,2795.14,4099,126109
432,Finance Cabinet,Auditing Department,Central Payroll,Supplies & Materials,564.98,522.3,1400,1400
433,Finance Cabinet,Auditing Department,Central Payroll,Current Charges & Obligations,150,298,516,516
434,Finance Cabinet,Auditing Department,Grants Monitoring,Personnel Services,340109.47,378972.24,343550.59,343433.92
435,Finance Cabinet,Auditing Department,Grants Monitoring,Contractual Services,1674.7,1374.87,3991,5320
436,Finance Cabinet,Auditing Department,Grants Monitoring,Supplies & Materials,30.08,778.53,957,957
437,Finance Cabinet,Auditing Department,Grants Monitoring,Current Charges & Obligations,1050,75,455,455
438,Finance Cabinet,Auditing Department,Accounts Payable,Personnel Services,693097.55,769548.06,839268.43,923751.61
439,Finance Cabinet,Auditing Department,Accounts Payable,Contractual Services,2986.05,5999.18,10914.2,17568
440,Finance Cabinet,Auditing Department,Accounts Payable,Supplies & Materials,1257.33,1292.58,4707,4707
441,Finance Cabinet,Auditing Department,Accounts Payable,Current Charges & Obligations,2654.79,150,199,199
442,Finance Cabinet,Budget Management,Budget Administration,Personnel Services,802625.98,724437.24,857505.05,880898.96
443,Finance Cabinet,Budget Management,Budget Administration,Contractual Services,589032.24,440109.42,189172,200100
444,Finance Cabinet,Budget Management,Budget Administration,Supplies & Materials,3642.22,7880.69,5850,5850
445,Finance Cabinet,Budget Management,Budget Administration,Current Charges & Obligations,76745.22,50438.86,76461,76550
446,Finance Cabinet,Budget Management,Budget Administration,Equipment,22633.13,4174.26,#Missing,#Missing
447,Finance Cabinet,Budget Management,Budget & Management,Personnel Services,776336.92,859166.52,1073420.6,969306.17
448,Finance Cabinet,Budget Management,Budget & Management,Contractual Services,1530.33,3533.95,3510,6600
449,Finance Cabinet,Budget Management,Revenue Monitoring,Personnel Services,87835.44,75755.84,97691.1,109677.02
450,Finance Cabinet,Budget Management,Revenue Monitoring,Contractual Services,223.21,26.79,480000,530000
451,Finance Cabinet,Budget Management,External Resources,Personnel Services,#Missing,#Missing,#Missing,102774.86
452,Finance Cabinet,Budget Management,External Resources,Contractual Services,#Missing,#Missing,#Missing,2000
453,Finance Cabinet,Budget Management,Capital Budgeting,Personnel Services,351975.13,406269.86,447234.96,476912.48
454,Finance Cabinet,Budget Management,Capital Budgeting,Contractual Services,578.56,2150.58,2808,2400
455,Finance Cabinet,Budget Management,Capital Budgeting,Supplies & Materials,#Missing,#Missing,500,500
456,Finance Cabinet,Budget Management,Risk Management,Personnel Services,59311,116685.22,126546.42,132836.24
457,Finance Cabinet,Budget Management,Risk Management,Contractual Services,#Missing,#Missing,67970,650
458,Finance Cabinet,Budget Management,Risk Management,Current Charges & Obligations,58250,60250,70885,125425
459,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Personnel Services,#Missing,240000,239999.73,372322.93
460,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Contractual Services,#Missing,5000,5000,348246
461,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Supplies & Materials,#Missing,#Missing,#Missing,0
462,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Current Charges & Obligations,#Missing,#Missing,#Missing,10000
463,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Equipment,#Missing,5000,5000,1000
464,Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Other Expenses,#Missing,1750000,1750000,1400754
465,Finance Cabinet,Pensions & Annuities - City,Pensions & Annuities - City,Personnel Services,3330307.039,5572230.1,4380000,4005000
466,Finance Cabinet,Procurement,Purchasing Administration,Personnel Services,960096.97,994831.71,1103854.34,1514850.15
467,Finance Cabinet,Procurement,Purchasing Administration,Contractual Services,20749.56,21516.88,217497.41,28093
468,Finance Cabinet,Procurement,Purchasing Administration,Supplies & Materials,5418.33,4856.07,7500,13475
469,Finance Cabinet,Procurement,Purchasing Administration,Current Charges & Obligations,15333.81,#Missing,4495,203400
470,Finance Cabinet,Procurement,Purchasing Administration,Equipment,24070.14,24070.14,24070.13,#Missing
471,Finance Cabinet,Procurement,Goods Procurement,Personnel Services,614427.96,511687.39,632562.56,617234.2
472,Finance Cabinet,Procurement,Goods Procurement,Contractual Services,127301.53,8059.05,8097.41,3073
473,Finance Cabinet,Procurement,Goods Procurement,Supplies & Materials,5276.99,7897.7,4975,1250
474,Finance Cabinet,Procurement,Goods Procurement,Current Charges & Obligations,2631.44,966.55,400,700
475,Finance Cabinet,Procurement,Goods Procurement,Other Expenses,#Missing,2962.5,#Missing,#Missing
476,Finance Cabinet,Procurement,Central Services,Personnel Services,307075.51,342045.04,298654.94,251986.46
477,Finance Cabinet,Procurement,Central Services,Contractual Services,32912.86,19099.86,27097.41,25704
478,Finance Cabinet,Procurement,Central Services,Supplies & Materials,1009.98,960.78,2750,750
479,Finance Cabinet,Procurement,Central Services,Current Charges & Obligations,#Missing,16623.6,150,200
480,Finance Cabinet,Procurement,Central Services,Equipment,17296,431273.4,#Missing,#Missing
481,Finance Cabinet,Procurement,Central Services,Other Expenses,104161.79,83190.05,6000,6000
482,Finance Cabinet,Procurement,Community Grantmaking,Personnel Services,#Missing,#Missing,462011.95,88164.13
483,Finance Cabinet,Procurement,Community Grantmaking,Contractual Services,#Missing,#Missing,200000,102475
484,Finance Cabinet,Procurement,Community Grantmaking,Current Charges & Obligations,#Missing,#Missing,#Missing,200
485,Finance Cabinet,Procurement,Procurement Planning and Support Services,Personnel Services,#Missing,#Missing,536601.94,594616.17
486,Finance Cabinet,Procurement,Procurement Planning and Support Services,Contractual Services,#Missing,#Missing,200000,111493
487,Finance Cabinet,Procurement,Procurement Planning and Support Services,Supplies & Materials,#Missing,#Missing,#Missing,250
488,Finance Cabinet,Procurement,Procurement Planning and Support Services,Current Charges & Obligations,#Missing,#Missing,#Missing,700
489,Finance Cabinet,Collecting Division,General Management,Personnel Services,617779.91,629017.24,644520.47,595373.67
490,Finance Cabinet,Collecting Division,General Management,Contractual Services,77386.31,89199.92,602600,624108
491,Finance Cabinet,Collecting Division,General Management,Supplies & Materials,11876.9,15231.62,19000,17500
492,Finance Cabinet,Collecting Division,General Management,Current Charges & Obligations,2391.11,31857.72,21650,11650
493,Finance Cabinet,Collecting Division,Special Collections,Personnel Services,448289.96,449293.64,538482.15,577638.69
494,Finance Cabinet,Collecting Division,Special Collections,Contractual Services,1983.92,3732.51,4800,12072
495,Finance Cabinet,Collecting Division,Special Collections,Supplies & Materials,1750,1500,2000,1500
